source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3326724029299483904,100.4619845740705,9.790495756396451,0.20396954847693333,0.09582700175559017,-1.1224622206618207,0.9984469,15.452613,2.707263,5.939629,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,6608.9976,3.1884,-0.2327,1944.4388,5.3686,3.9501,2.2057
3326724265520147584,100.54501412915047,9.780749773788735,3.592217950699705,3.4511457463875193,10.871250280247182,1.6874973,12.005321,0.7814007,-45.143486,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,5920.6177,4.4407,-0.6134,278.4819,0.0793,0.0671,0.0363
3326724338537086976,100.57947839521795,9.78911286877188,1.7630374620038307,-0.3746910638710185,-1.8466943128046793,1.0419154,14.883919,1.2184715,51.169136,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4839.7563,4.6179,0.4474,527.0292,0.1216,0.0951,0.0495
3326724407256567552,100.57044947444292,9.790334061625979,0.2217100248725389,-0.05591330086236387,-1.6711516521065415,1.1188419,15.104635,2.04712,32.185265,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4839.3794,3.2419,0.1583,1670.6093,2.3645,1.7352,0.9264
3326724441616325888,100.52910385032683,9.777567703881525,33.171551893479055,-18.25272333411281,-107.47245001016874,1.2717623,14.636404,3.205037,6.8356423,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,3034.47,5.0688,-0.1756,30.1301,1.0E-4,0.0,0.0
3326724475976060032,100.53276749332584,9.781181620644757,1.6198113091619626,3.540217386770599,-2.097003819429762,1.1439366,13.337539,0.90644073,-7.341098,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5570.8486,4.2493,0.1667,591.589,0.0823,0.0681,0.0362
3326724647774743808,100.53813135003857,9.8013273576147,0.8570395373112285,3.136056076031977,-6.388114399663544,0.9817134,14.963835,1.5217524,-4.1676598,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5279.8135,3.7858,-0.3578,1120.5724,1.4215,1.1101,0.6014
3326724682134477056,100.54104724938114,9.812056648128198,0.22120127758961972,0.17382113875805721,-0.9811139612801973,1.6351714,14.769992,1.9857645,63.539055,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,5285.37,2.9235,-0.4624,2483.8828,2.579,1.9331,1.052
3326724716494200320,100.5932979967264,9.79984487053148,0.6859835253894228,0.22862823803223786,-2.866582454135426,0.99218047,14.778753,1.6275053,53.935764,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5068.306,3.5916,-0.272,1157.2177,1.5116,1.1616,0.6271
3326725433751250944,100.54178820614769,9.82025124123636,0.8864707519177338,-0.7026434192345195,-1.5532740901893107,1.1886204,12.215454,1.7150011,17.741423,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5024.5757,2.5813,-0.5797,1066.1942,1.6782,1.2784,0.6925
3326725502470727296,100.53066407024939,9.829713106307471,0.7517525708327866,-3.2418797488546987,-2.6469431871007356,1.1407413,12.877135,1.9290352,31.903303,"NOT_AVAILABLE",0,false,false,true,false,false,true,true,5279.399,2.9065,0.1068,1468.1235,2.428,1.8233,0.9787
