source_id,RA,DE,Parallax,Distance,RA_sc,DE_sc,Galactic Longitude,Galactic Latitude,Cartesian X,Cartesian Y,Cartesian Z,RA-DEC XProjXY,RA-DEC YProjXY,RA-DEC YProjYZ,RA-DEC ZProjYZ,RA-DEC XProjXZ,RA-DEC ZProjXZ,Galactic XProjXY,Galactic YProjXY,Galactic YProjYZ,Galactic ZProjYZ,Galactic XProjXZ,Galactic ZProjXZ
3326745675934315520,100.53798149933682,9.984079888106583,0.3660711350128785,2.7317095076748394,5429051.000964189,35942.6875971837,186.02090669702372,-24.900990951309062,1.0047830558729591,2.4956647391431463,0.4736088626169082,0.4802136019322698,-1.1927471772083869,-1.1047192520823605,0.20964547853064724,-1.7695908077935987,0.8341043221995079,-1.6765540941929788,-0.17683147673672767,-0.42987298663877715,-1.9024394034937397,1.3410560041032853,-0.6259787576841093
3326745779013523200,100.5769471332119,10.013033263294956,0.3949305882128507,2.532090523869584,5431155.145193443,36046.91974786184,186.36915508386443,-24.419328493503304,0.9076315383793992,2.322468176893907,0.44026012643013857,0.4678804954678495,-1.1972232292122142,-1.112918802480962,0.21097114593924932,-1.7618388107907097,0.8546060210437612,-1.6709384809214005,-0.18651497610260065,-0.4632819529842229,-1.8961060572106396,1.3497390642225768,-0.6166238358453718
3326745882092744064,100.52964381151158,10.003823710427554,0.0651214254531139,15.35592922056013,5428600.7658216255,36013.765357539196,185.922867234838,-24.988500721441902,5.678514019571624,14.015822484344422,2.66753834906386,0.48271686755860027,-1.1914514787815085,-1.102884478652826,0.20990467342747057,-1.7702799647020235,0.8316065925251135,-1.6776710906643635,-0.1740471935137671,-0.4215682743476511,-1.9040452196340998,1.3391526316187006,-0.6274796147129672
3326746187033216896,100.64045004967603,9.995789423707912,1.1381390214985885,0.8786272863953819,5434584.302682506,35984.84192534848,186.98612603287432,-23.66912909042594,0.3015204085469987,0.8110564269782008,0.152508438735428,0.4479932294891885,-1.2050520552518107,-1.126407525850376,0.21180604386221602,-1.75004673296224,0.8851702484891896,-1.6617591801788112,-0.20362992794995358,-0.5224667252310506,-1.8828666802197918,1.3638384952416118,-0.6022785541841165
3326746225690119168,100.62528623333893,9.984569895270903,0.2499503357562618,4.000794785789552,5433765.456600302,35944.45162297525,186.85327615795495,-23.85760292900753,1.3876595356917196,3.6877611605378275,0.6936696287379196,0.4528264211733876,-1.2034044702731383,-1.1232399545520466,0.21128196982910957,-1.7535949618220903,0.8765951120117244,-1.6640112984145543,-0.1999907807185478,-0.5088790388610043,-1.8860222995747637,1.3605140752346638,-0.6060228580064314
3326746260049854464,100.63209012958464,10.00089486351678,0.8107473389411268,1.2334298886580939,5434132.866997571,36003.22150866041,186.90293177494567,-23.766470939125295,0.42576297929277535,1.1376259290109163,0.21420182385056252,0.45060563224372835,-1.2040047536550138,-1.1246277868860577,0.2117544238055985,-1.7515959421574825,0.8812298478430566,-1.6629751817693685,-0.20132844882556766,-0.5144277729187976,-1.8848042973519796,1.3619877313890214,-0.6041356040983328
3326746775445919488,100.66977406268578,10.03481613645463,0.5516192013480423,1.8128447986513314,5436167.799385032,36125.33809123667,187.22616865579553,-23.29406070051316,0.6091794233499009,1.6779527000528585,0.31588198832727066,0.4385508411065046,-1.2079652393683091,-1.1324659650523798,0.21319170721703773,-1.7421544525608783,0.9033713079505057,-1.6573298964309513,-0.2101385313543594,-0.5482719708078977,-1.8766411922072155,1.3702007391092976,-0.5946564395499812
3326746981604349952,100.6623348276825,10.04025741404702,0.4891430657422532,2.0443916515151734,5435766.080694855,36144.92669056927,187.15185154433271,-23.380356856271224,0.690659731992725,1.890897025461394,0.35641941373882774,0.4408776591964252,-1.2070404799214265,-1.1308840587268851,0.2131628680941365,-1.743614598982896,0.8998035709464056,-1.658422230811893,-0.2080917045115433,-0.5409629378770913,-1.8785253739962164,1.3685631166308585,-0.5963126766551935
3326747050323826816,100.6470791089765,10.053796177530293,0.4247523941163842,2.3543128040050436,5434942.271884731,36193.66623910906,186.99693833922382,-23.55575131742594,0.8040178021504225,2.1742640308404724,0.4109988772741821,0.44563217143844525,-1.2051001840412885,-1.1276294310947161,0.21315462316786893,-1.7464393055906158,0.8927471405551687,-1.6606454448119135,-0.2038115461723753,-0.5259434020153256,-1.8823053130137801,1.3651931488266473,-0.5996488734307417
3326747320904582144,100.58714013787144,10.028423448660789,0.7483855647124349,1.3362096319752603,5431705.567445058,36102.32441517884,186.45271501298677,-24.288519301229645,0.47567149709305584,1.2268053489569657,0.232683139069614,0.46460961856918204,-1.1982756350146024,-1.1150350232767337,0.21148411979877305,-1.7594124682851235,0.8606477759139518,-1.669435012134754,-0.18881259034778783,-0.4717769006710444,-1.894425864801586,1.3519855282626752,-0.6140085482529125
3326747359561481856,100.59648878586556,10.03534321538821,0.309540106420914,3.230599134834552,5432210.39443674,36127.23557539756,186.53552423885816,-24.17270383311382,1.1427597698146434,2.9688310969760408,0.5629500831467901,0.4616422435494431,-1.1993228012827895,-1.1169954193984641,0.21180479578829448,-1.7573978699735806,0.8657351292512541,-1.6680700127736576,-0.19110029971050166,-0.47996167629541997,-1.8927255458448082,1.3540523617492448,-0.61173543018147
3326747393921217536,100.61598690291,10.03479911734794,0.6387675007860564,1.5655148371972856,5433263.2927571405,36125.276822452586,186.72086022982066,-23.93967803298573,0.5464194675292637,1.4414751965370125,0.2727851329498367,0.45551677756181,-1.201670466520579,-1.1211232920488188,0.21216165703676937,-1.7536071916125513,0.8754409374702643,-1.66524493025668,-0.1962359948285109,-0.49789256727235887,-1.888779468185136,1.3583739137692272,-0.6072471624542606
3326747874957547776,100.6240575823371,10.071691722771526,0.1135492866431557,8.806748413511729,5433699.109446203,36258.090201977495,186.76438982105455,-23.821416630739442,3.0563742178387767,8.114518099922167,1.540126704351732,0.4528028239897269,-1.2021684679563434,-1.1227173298955628,0.21309052736319792,-1.7506060442820237,0.88214168993508,-1.6639772338571142,-0.19736845841966225,-0.5036057703387135,-1.8876606193037087,1.3600938699641274,-0.6046895593725248
