source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3134136939836534528,102.1614349860253,8.323919925930497,4.378833560924723,0.014706117,10.536575039386758,0.016686765,-25.790754865047436,0.015694298,1.0480269,13.053328,1.1291685,-49.141064,1.8454993,"VARIABLE",0,false,false,false,true,false,true,true,4992.2715,4.6281,-0.1628,223.8647,0.161,0.1283,0.0681
3326625176332239616,100.80989790755356,9.364944708978806,3.145655320071023,0.018469859,-3.461625337787176,0.01737151,-14.36129468732384,0.014483205,1.0860695,9.580076,1.1361084,-49.122894,0.19238572,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4824.5137,2.9949,-0.2558,320.6507,0.0288,0.0228,0.012
3327962659211543552,97.47397824075884,10.786172253257734,1.7978213333511759,0.02197669,-0.12544047905785427,0.024306381,-14.868855495501762,0.020907493,1.6780163,13.130361,0.9202843,-49.112778,2.5637462,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5673.243,4.2335,-0.0665,520.4405,0.2398,0.1991,0.1066
3157091100489848320,104.34316040094471,7.959864190071858,1.8893446470831496,0.021433756,15.348775151723151,0.024339404,-21.410882008953134,0.020362174,0.99696994,14.349257,1.0529299,-49.09534,4.6079016,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4996.9194,4.481,-0.4223,518.2073,0.0316,0.0253,0.0135
3131058857034025600,99.44306614979315,5.174143261758264,0.7508093895403792,0.027996002,0.751130038186698,0.029183628,-2.998419295169929,0.023953477,0.9808744,14.558887,0.8546839,-49.03996,22.276545,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6297.4854,4.2796,-0.4548,1089.9144,0.5017,0.427,0.2318
3133852269403719936,100.37919024941785,7.799165592092322,0.6562799163907025,0.024570486,-0.05769497227932974,0.02971792,0.5969648908660798,0.02476511,1.0093014,15.0425415,1.4015484,-48.99134,8.92991,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,6198.191,3.9253,-0.7181,1260.5295,1.7196,1.3937,0.7656
3352912300331976192,101.43260667104752,14.31310068085536,1.729019662818948,0.013411634,5.012117096102109,0.016082203,3.655598825850573,0.0136732785,1.0311583,12.534259,0.7292061,-48.97409,2.7987523,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5977.424,4.1914,-0.4669,566.0842,0.0392,0.0334,0.018
3133017499559230080,103.55228902838317,7.256040147428439,2.8365255106241265,0.018662862,3.5193420640808846,0.020430112,-17.400042492579825,0.01593249,1.146991,13.763255,1.042059,-48.95824,4.0399976,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
3351983556603960320,100.9336770930449,11.871608639337314,1.333116043454864,0.022535399,4.688762794635666,0.024816828,3.8972445769976947,0.023366848,0.964281,14.364152,0.9503746,-48.954483,7.2635164,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5346.855,4.3371,-1.1805,715.6997,0.1415,0.1166,0.0634
3132359854167196800,101.29721810400164,5.452734848757062,0.5969452837538933,0.022560788,0.37050040364459214,0.024970535,-3.3381381172895,0.022097206,1.0813184,14.574927,0.929204,-48.93273,29.823555,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,7780.191,4.1489,0.1893,1947.3776,1.428,1.2433,0.6674
